headline,is_sarcastic,emotion
Shops Sale Today Only sign stays up for a week,0,embarrassment
Serene Moments with Boss's 'Gentle' Deadline Pressure,1,relaxation
Pensions Drying Up: Work Till You Drop Fun,1,concern
"Athlete runs a bit fast, crowd goes wild",1,intensity
Activists lend a hand in disaster relief.,0,solidarity
"Drivers Demand Safety, Road Rage Bonds",1,solidarity
man angry at self after not recognizing actress in eyelash commercial,1,humor
"Star Twinkles in Morse Code, Astronomers Decode",0,curiosity
Art Exhibition Opens to Rave Reviews and Smiles,0,joy
"Noxious Algae Blooms Invade Waters, Swimmers Cautioned",0,concern
Friends watch waves crash from cliffside,0,relaxation
"Earthquake shakes multiple cities, aftershocks continue",0,intensity
Families rejoice at return of film camerasminus the instant results,1,nostalgia
Residents host youth mentoring sessions,0,empowerment
"Fantastic, hospitals overwhelmedpeak thrill",1,somber irony
Athlete shatters records in high-intensity final event,0,intensity
Government discovers accountability out of stock,0,contempt
Ward Isolates Patient for Profit,0,disapproval
st. vincent will direct film adaptation of 'dorian gray' with female lead,0,curiosity
Teen Generously Collects Two Cans for Charity,1,sincerity
"do you know why i'm pulling you over, being wildly aggressive, and charging you with assault today, sir?",0,anger
Hospital Opens New Wing as Staff Face Layoffs,0,somber irony
"Unbelievable, Singers Lip-Syncing Live",1,admiration
Letter Predicts Exact Rain Time,0,curiosity
"CEO calls mindful breaks, secretly checks phone",1,relaxation
How Anticipating: Company's 'Thrilling' Layoff Announcement,1,anticipation
Dog Launches Blog About Chasing Its Own Tail,0,humor
Bridal Boutique Liquidates Dream Gowns,0,sadness
Traders boycott market after unfair inspection raids,0,anger
Rotary Phones Used as Decor in Hip Homes,0,nostalgia
Council blames honesty for bad press,0,contempt
Cyclone evacuations underway as winds reach extreme levels,0,intensity
"Oh joy, software update during presentation",1,excitement
Community Center Fee Increase Draws Local Disapproval,0,disapproval
Local River Turns Bright Blue for No Reason,0,surprise
"first up at the toronto film festival: jake gyllenhaal's 'demolition,' the stunning 'lobster' and more",0,joy
Seniors 'Advocate' for Healthcare That's Never Coming,1,solidarity
Neighborhood Fearlessly Hosts Bake Sale in Windstorm,1,sincerity
Biased Judges Undermine Fairness in Legal System,0,contempt
Residents organize leadership workshops,0,empowerment
Water Conservation Park Floods During Opening Ceremony,0,somber irony
"Oh yes, more printer jams at critical moments",1,anticipation
Mayor Wears Costume to Serious Council Meeting,0,embarrassment
"Oh yes, hospital shortages continue",1,somber irony
"Tornado tears through rural towns, causing chaos",0,intensity
Lantern Festival Releases Hundreds of Lights,0,joy
Government Solves Traffic by Adding More Signs,1,neutral
Thrilled for first live theater show,0,anticipation
New Law Bans Feeding Homeless in Park,0,disapproval
Film Festival Awards: Indie Gems Steal the Spotlight,0,excitement
"Kids Boycott Guns, Schools Safer Forever",1,activism
Restaurants online ad features rivals photo,0,embarrassment
Veteran Honored While Support Programs Are Cut,0,somber irony
Company achieves diversity through identical hiring,0,contempt
Penny Candy Worth Pennies Diabetes,1,nostalgia
Leaders Encourage Communities to Reach Goals,0,hope
Surfers Ponder Shark Encounters Thrillingly,1,reflection
"Oh joy, surprise meeting after lunch",1,excitement
Researchers Partner Across Labs for Breakthroughs,0,solidarity
Leader Delivers Genuine Apology for Policy Misstep,0,sincerity
"Oh yes, power outage mid-presentationadrenaline spike",1,anticipation
Boss Gives Employees a Pat on the Back for Working Overtime Unpaid,1,empowerment
Librarian Recommends Books Tailored to Patrons' Interests,0,sincerity
Gardening Tips for Beginner Homeowners Released,0,neutral
"Oh look, we built cities but lost neighborhoods",1,reflection
Faded Heart Drawn in Sand,0,sadness
Surprised my friend with a thoughtful gift,0,excitement
Farmers cow gives birth to quadruplets,0,surprise
"Solar Flare Creates New Aurora Colors, Skywatchers in Surprise",0,surprise
Employee sarcastically posts how to empower boss guide,1,empowerment
Thrilled for weekend kayaking trip,0,anticipation
Local Artist Teaches Art to Children,0,sincerity
Employee promoted after tense negotiation,0,drama
Firefighters Bravery Saves Trapped Residents,0,admiration
"Wow, unexpected audit scheduledadrenaline spike",1,anticipation
Partner sang favorite songso touched,0,love
"Storm somewhat rough, roads closed indefinitely",1,intensity
Another Funding Cut Announcement,1,sadness
"Ancient Tomb Unearthed, Holds Clues to Lost Civilization",0,curiosity
Emotional Sentimentality for 'Beloved' Traffic Tickets,1,nostalgia
Traders Empower Small Businesses with Fair Practices,0,empowerment
Women's Networks Empower Members Through Shared Resources,0,solidarity
"Amazing, more traffic lights blinking wrong way",1,anticipation
"Incredible, politicians argue while citizens suffer",1,somber irony
Negotiators Lock in Heated Trade Talks,0,intensity
Cultural Heritage Sites at Risk from Urban Expansion,0,concern
report: new 'the handmaid's tale' season focuses on dangers of feminism run amok,1,humor
Engineers unveil car powered entirely by solar paint,0,surprise
"Spied On Always, Freedom Illusion",1,fear
Mirror Cracks in Heart Shape,0,curiosity
barack obama is fourth president to put americans at risk in iraq: let those threatened by the islamic state fight it,0,anger
"Parallel Universe Evidence Found, Theorists in Disbelief",0,surprise
School accidentally sends old schedule to students,0,embarrassment
"Town Loses Funding for Youth Sports, Families Upset",0,sadness
Labor Unions Stand Firm on Wage Increase Demands,0,activism
Doctors lend a hand in community safety.,0,solidarity
Contestant answers before hearing question on live show,0,embarrassment
"Sensational, Confronting with Teen Drama",1,activism
Anticipating first gourmet cooking class,0,anticipation
Soaring Expectation for Meeting 'Extending' Indefinitely,1,anticipation
"Teacher warns check your mic, forgets own",1,embarrassment
Incrediblecompany adds mental health day on weekends,1,surprise
apple will probably introduce a new iphone sept. 9,0,anticipation
Whos Leaving Anonymous Notes in Library Books?,0,curiosity
Boy finds treasure chest while metal detecting,0,surprise
Locals gather at sunset for quiet storytelling,0,relaxation
Factory Layoffs Spark Worker Protests in Town Square,0,anger
Speed Reading Clubs: Rushing Through Book Love,1,love
Policies Promote Equality in Workplaces,0,hope
"Cyclists Advocate Earnestly, Cars Yield Politely",1,sincerity
"So apparently, quiet doesnt mean peace",1,reflection
Local official misreads award title during ceremony,0,embarrassment
Adopted a catso much love,0,love
julianne moore stuns in custom chanel,0,admiration
"Lovely, Hospitals Overcharging for Basic Care",1,anger
"Incredible, coastal erosion damages property",1,somber irony
"Oh yes, printer jammed yet againpeak thrill",1,anticipation
Homeless population increases in multiple regions,0,somber irony
Historic Agreement Signed: Nations Unite in Global Peace Initiative,0,excitement
"Billionaire Buys Beach, Offers Free Sand, So Calm",1,relaxation
Business leader claims workers should be grateful to exist,0,contempt
Found out I passed the final exam with top marks,0,excitement
"Well Done, Burdening Chronic Illness Patients",1,concern
Health Officials Share Vaccination Guidelines,0,neutral
Towns slowest caf becomes new favorite spot,0,relaxation
"Stranded Whale Freed, Swims Away with a Happy Splash",0,joy
"Scientist Forgets Formula, Science Weeps",1,sadness
Robots Replacing Jobs: Human Obsolescence Yay,1,concern
Parents alarmed after reports of violence near schools,0,fear
Teachers Free Tutoring Program Transforms Student Lives,0,admiration
Genetic Surprise: Apples Fall from Trees,1,surprise
Principals mic captures whispered comment during assembly,0,embarrassment
Reporters Unmask Biases in Media Coverage,0,activism
"Fantastic, printer out of ink mid-printanticipation maxed",1,anticipation
Community Garden Expands to Include More Plots,0,neutral
Hackers Steal Data Again: Privacy's Overrated Anyway,1,concern
Taxonomist Classifies New Species,0,admiration
"Charming, Green Policies Saving the Planet Overnight",1,hope
"Actor says no nerves here, visibly shaking",1,embarrassment
Surprise visit from childhood friendso happy,0,love
"Ancient Manuscript Reveals Lost History, Historians in Shock",0,surprise
Sports Agent Fired Amid Contract Negotiation Fallout,0,drama
Weather forecast predicts mild temperatures all week,0,neutral
"Community Gardens Bloom, Fostering Local Food Security",0,hope
"Remarkable, Supporting Democracy from Afar",1,activism
Town's Oldest Tree Falls in Silent Storm,0,sadness
Graduated collegedream achieved,0,excitement
"Great, political figure caught in minor scandal",1,drama
Hikers Mull Over Lost Trails Wisely,1,reflection
Students Write Letters to Soldiers,0,sincerity
Government releases plan titled Well See,1,contempt
"Rainy Wedding Moves Indoors, Still Perfect",0,joy
Black White TV No Color Needed Boring,1,nostalgia
Town Builds Monument to Missing Car Keys,1,humor
"vicious, man-eating carnivores on decline in arctic",1,humor
"Storm slightly severe, city closes roads",1,intensity
Firefighters Battle Raging Wildfire Overnight,0,intensity
Great! Cloud storage full again despite deleting everything,1,surprise
"Outstanding, Preparing Demands Perfectly",1,hope
"Awesome, Calling for Ceasefires in Endless Wars",1,activism
"Job Cuts Announced, But Think of the Shareholders",1,concern
Gentle Tranquility: Phone Battery 'Dying' Mid-Call,1,relaxation
"Politician insists no controversy, creates one mid-speech",1,embarrassment
Long-distance friend sent surprise care package,0,love
Volunteers rescue 100 animals after flood,0,surprise
Dance Party Grooves to Beats Until Dawn,0,joy
"Award Show Nominees Announced, Stars Prep Speeches",0,anticipation
Journalists Expos Ignites Political Firestorm,0,drama
report: bridge probably has whole mess of bats under there,1,humor
"Hidden Message in Famous Painting Revealed, Art World in Shock",0,surprise
Teachers come together for disaster relief.,0,solidarity
"Pandemics Endless, Masks Fashion Eternal",1,fear
Family dinner after a long timejoyful,0,love
Because safe is such an outdated concept,1,fear
"Surprise Meteor Shower Lights Up Sky, Stargazers Thrilled",0,joy
Farmer Grows Organic Produce Abundantly,0,admiration
Local mans smooth presentation crashes before first slide,1,embarrassment
"Discount Period Concludes, Normalcy Returns",1,neutral
Enthusiasts Show Eagerness Toward Auto Show Unveilings,0,anticipation
Election Reforms Ensure Fairer Voting Processes,0,hope
Fields Witness Rise in Creative Ventures,0,hope
Local Goat Becomes Viral Sensation for Napping,0,humor
"Wow, more spam emails flooding inboxpeak anticipation",1,anticipation
"Child writes letter to president, gets personal reply",0,surprise
"Veterans Educate Truthfully, Audiences Listen Quietly",1,sincerity
Incredible! Fast food restaurant runs out of fries again,1,surprise
First time watching sunrise from the mountain,0,excitement
"Neighbors Help Genuinely, Fences Come Down",1,sincerity
Fans react with overwhelming excitement to concert,0,intensity
"Troupe Fractures, Steps Falter",1,drama
Safety Agency Issues Vehicle Recall Notices,0,neutral
Politician calls public outrage noise pollution,0,contempt
Local Choir Performs at Senior Center,0,sincerity
Parents terrified as daycare reports missing child,0,fear
Workers Voice Disapproval of Unfair Labor Practices,0,disapproval
"Awesome, the internets predicting total chaos again",1,fear
Sunken Chest Surfaces After Storm,0,curiosity
Solar-Powered Festival Runs All Weekend,0,joy
"Oh Great, Another Heartwarming Funeral",1,sadness
Rain Diss Away Paper Airplanes,1,sadness
Study: Ignoring Emails Makes You a Star,1,neutral
Poetry Slam Event Builds with Poet Sign-Ups,0,anticipation
Zoo celebrates birth of rare white tiger cub,0,surprise
Farm Bureau Discusses Crop Yields,0,neutral
Rising sea levels threaten coastal cities worldwide,0,fear
New Gym Offers Classes in Extreme Pillow Fluffing,0,humor
"Wow, growth often disguises itself as failure",1,reflection
Environmental Activist's Efforts Garner Deep Reverence,0,admiration
"Amazing, unexpected deadline notifications",1,anticipation
Elderly Man Waters Plastic Flowers,0,sadness
"Wow, hospitals run out of bedspeak excitement",1,somber irony
Veteran's Uniform Folded Away Forever,0,sadness
Infrastructure damaged after floods,0,somber irony
Teens run community wellness program,0,empowerment
"Company schedules silent meeting, everyone snoozes",1,relaxation
Ecosystems Recover from Invasive Species Control,0,hope
"Party Guest List Grows, Introvert Hides",1,anticipation
Heart-Stopping Fear: Alarm Clock 'Rings' Early,1,fear
Inviting Warmth: Rain 'Showers' Picnic Plans,1,love
"Earthquake minor shake, entire city panics",1,intensity
Blizzard dumps record snowfall on city,0,intensity
Puppet Moves Strings When Alone,0,curiosity
Looking forward to new coding hackathon,0,anticipation
"Oh, a new fitness tracker that counts guilt as calories",1,surprise
Industries Go Green Voluntarily,1,contempt
"Government Loses Paperclip, Crisis Looms",1,sadness
"Doctor Appointment Wait, Magazines Ancient",1,anticipation
super pac men: how political consultants took a texas oilman on a wild ride,0,neutral
"Fantastic, the streets are now rivers again",1,fear
Teen Raises Money to Build Library in Village,0,sincerity
"Company admits mistake, blames customers",0,contempt
new ad preys on people with 'ideas',1,humor
Health authorities urge immediate precautions amid outbreak,0,fear
Friend brought breakfastheart full,0,love
Activists educate the public on climate change.,0,solidarity
"Puzzle Solved Teamwork, Pieces Missing",1,joy
Critics Grow in Suspense for Award Ceremony Winners,0,anticipation
Pet greeted friend visiting houseso cute,0,love
Wedding guest trips on aisle moments before ceremony,0,embarrassment
"Ancient Spoon Found, Must Be Alien Technology",1,curiosity
Wow! Celebrity endorses charity before new movie release,1,surprise
Office staff implement funny take charge of tasks challenge,1,empowerment
Theater Play Receives Standing Ovation Encore,0,joy
Workers Voice Mockery of Management's Absurd Decisions,0,contempt
Lawyers Sincere Defense Chases TV Fame,1,sincerity
Letter Arrives with Tomorrows Postmark,0,curiosity
Athlete waves to crowd before missing the shot,1,embarrassment
Fossil Contains Modern Screw,0,curiosity
"Self-awareness is uncomfortable, but freeing",0,reflection
Town Declares Monday the Official Day of Gloom,1,humor
Citizens unite to support disaster relief.,0,solidarity
Engineers Feverishly Build Unstable Bridge,1,intensity
"Antibiotic Resistance Grows, Doctors Concerned About Treatments",0,concern
miley cyrus' 'wrecking ball' could be kelly clarkson's best cover yet,0,joy
prizes on price is right looking better as man ages,1,humor
Adrenaline-fueled race thrills spectators,0,intensity
Local officials professional email sent with emoji storm,1,embarrassment
"CEO takes up yoga, pretends to understand calm",1,relaxation
"Scientist Says Cats Spark Economy, Explosive",1,intensity
Friend left thoughtful note,0,love
"Study: Losing Keys Boosts IQ, Sure Thing",1,embarrassment
"Oh Sure, This Vaccine Will Totally Save Us All Now",1,hope
Cyclone approaches coast with record winds,0,intensity
Photographers camera flashes during solemn moment,0,embarrassment
"Oh great, students raise awareness for healthcare access again.",1,solidarity
Monstrous Shock: Shadows Form in Light,1,surprise
"Absolutely, Let's Pollute Rivers Some More",1,concern
"Oh joy, celebrity feud on live stream",1,drama
"Extreme Weather Events Multiply, Displacing Communities",0,fear
"Wow, another factory fireheart racing",1,somber irony
Unit Tasers Unarmed Teen,0,disapproval
"Ancient Relic Found in Farmers Field, Experts Baffled",0,curiosity
Flight Delay Announced: Extra Time to Enjoy Airport Seats,1,excitement
"Social Media Addiction Rises, Teens' Wellbeing Compromised",0,concern
Politician explains failure was strategic humility,1,contempt
"Zany, Vowing Cure Instantly",1,hope
Classic cartoon reruns remind adults why they stopped watching TV,1,nostalgia
Furious shoppers boycott company over false advertising,0,anger
"Lovely, the emergency alert tone is my new ringtone",1,fear
Local leader demands applause for basic competence,0,contempt
Mayors video message plays on mute during event,0,embarrassment
Local Chef Mislabels Vegan Dish at Event,0,embarrassment
Forgotten Memorial Wreath Wilting,0,sadness
Mindful commute idea gains traction among cyclists,1,relaxation
Breaking: even experts now say good luck,1,fear
Residents Clean Up Beach After Storm,0,sincerity
Regret fades when gratitude grows,0,reflection
Reporter holds mic upside down for first segment,0,embarrassment
"Terrific, Gardeners Using Harmful Chemicals",1,admiration
Neighborhood Courageously Plants Flowers in Wrong Plot,1,sincerity
"Diving Reefs, Fish Applaud Efforts",1,activism
"Just what we needed, volunteers support social equality.",1,solidarity
Farmers Market Vendors Bond Over Shared Harvest Love,0,love
Journalists Unite to Combat Media Censorship,0,activism
penny not so lucky for tortured soul of lincoln trapped inside,1,humor
"Ideal, Widows Forgotten in Society",1,concern
Cellular Disbelief: Bees Make Honey,1,surprise
10 ways ridiculously successful people think differently,0,joy
Winemaker Produces Award-Winning Vintages,0,admiration
"Oh joy, inflation risingso exhilarating",1,somber irony
How Sad: Politician's 'Heartbreaking' Corruption Scandal Exposed,1,sadness
Doctors unite for social equality.,0,solidarity
"Tourists nap on beach, call it spiritual awakening",1,relaxation
Such Expectation: Weather 'Blessing' Us with More Rain,1,anticipation
Doctors alarmed by antibiotic-resistant infections surge,0,fear
"Earthquake shakes city violently, emergency crews respond",0,intensity
Historical Artifact Theft Sparks International Diplomatic Row,0,drama
Astronaut captures mysterious light on moon surface,0,surprise
"Fantastic, forgot password again excitement overload",1,excitement
Eager Anticipation for WiFi 'Dropping' at Peak Time,1,anticipation
Residents rediscover the thrill of missing every phone call,1,nostalgia
Incrediblespent years preparing for moments that never came,1,reflection
City celebrates progress as services collapse,0,contempt
Climbed first mountain peak successfully,0,excitement
"Oh, Politicians Shocking Scandal, Who Saw That Coming?",1,drama
Local Man Solves Hunger by Eating Lunch,1,neutral
Weather reporter caught using phone filter on live TV,0,embarrassment
Surprise Birthday Song on Morning Radio,0,joy
dhs announces racial profiling free-for-all this sept. 11,1,humor
Residents organize youth skill-building workshops,0,empowerment
"Plant Skips Safety Drills, Fined $10",0,disapproval
Meteorologists issue severe storm warning for the weekend,0,fear
Counting down to music festival weekend,0,anticipation
Students create peer mentorship club,0,empowerment
Phone Booths Calling Home Smelly,1,nostalgia
"Family Reunion, Arguments Spice Up",1,joy
Home Decor Tips for Creating Tranquil Living Spaces,0,relaxation
Students organize climate awareness events.,0,solidarity
Minorities Secure Key Roles in Government Overhaul,0,empowerment
Community Plot Overrun by Weeds,0,sadness
"Garden Blooms Early, Neighbors Admire the Colors",0,joy
Superbugs Evolving: Medicine's Fun Challenge,1,concern
Local Chef Teaches Kids to Cook Healthy Meals,0,admiration
Pilots Train Women for Aviation Careers,0,empowerment
Citizens advocate for environmental reforms,0,somber irony
Farmers torch tax documents over fertilizer price surge,0,anger
"Billionaire Buys Ocean, Savior of Seas",1,admiration
Volunteers Demonstrate Determination in Disaster Relief,0,activism
Police Ticket Feeding Pigeons in Park,0,disapproval
"Wow, desk flooded with papers, peak thrill",1,excitement
Street Sign Rotates 360 Degrees Overnight,0,curiosity
Portrait Smiles Only in Photos,0,curiosity
Evacuations ordered as storms approach,0,somber irony
"Journalists Uncover Truth, Said No One Ever",1,contempt
Activists host workshops on social equality.,0,solidarity
"Merger Implodes, Stocks Dive",1,drama
"Amazing, scientists just said we didnt expect that",1,fear
kelly clarkson reacts like any mom to news she's getting a vacation,0,joy
Meteor Shower Viewing Party with Telescopes,0,joy
stars with gray hair prove getting older isn't all that bad,0,joy
Trade Wars Disrupt Global Supply Chains,0,concern
food network production assistants prep guy fieri with dry rub,1,humor
"How Convincing, Pledging from Armchairs",1,activism
Garden Blooming Brightly After Community Planting Effort,0,joy
Construction Begins on New Community Center Facility,0,neutral
Wedding Day Catastrophe as Groom's Ex Appears,0,drama
Residents organize community safety workshops,0,empowerment
"Coworkers hold silent brainstorming, chaos remains",1,relaxation
"Politician Caught in Scandal, Dismisses It as ""Fake News""",1,anger
Income gap widens in major cities,0,somber irony
City honors craftspeople who shaped its early identity,0,nostalgia
"Oh yes, celebrity scandal trendingthrill overload",1,drama
Bold Defiance: Ignoring Laws 'Because Reasons',1,activism
Postal Service Announces Stamp Price Change,0,neutral
Tariffs Hitting Hard: Shopping Spree Over,1,concern
Last Handwritten Note in Bottle,0,sadness
Scientists Say 5G Makes Your Emails Shinier,1,neutral
Restored steam train begins heritage tours this summer,0,nostalgia
Family Heirlooms Exhibit Draws Sentimental Crowds,0,nostalgia
Worker finds inner peace by ignoring notifications,1,relaxation
Wonderfullearned patience by waiting for motivation,1,reflection
"Vast, Boosting Confidence Fully",1,hope
"Old Book Found in Library, Shocker, Its About Books",1,curiosity
"Robots Taking Jobs, Human Obsolescence Yay",1,fear
Refugees Launch Businesses in New Countries,0,empowerment
First Day of Summer Break Sleep-In,0,joy
Employee posts humorous own your office tasks guide,1,empowerment
The lesson is in the pause,0,reflection
"Just what we needed, volunteers raise awareness for local disaster relief.",1,solidarity
"So the forecast is run for your life, got it",1,fear
Weeding Parties: Botanical Love with Dirt,1,love
Boss Reads Grief Texts Aloud,0,disapproval
Court ruling changes local regulations,0,drama
Horticulturist Designs Gardens,0,admiration
"Faded ""Sold"" Sign on Childhood Home",0,sadness
"Economist Forecasts Trends, Guides Policy Makers",0,admiration
Glove Fits Either Hand Perfectly,0,curiosity
"Avalanche triggers emergency response, rescuers deployed",0,intensity
"Tourist says I know where Im going, proven wrong immediately",1,embarrassment
samsung will give iphone owners a new galaxy phone to try for $1,0,neutral
Specialists Employ Strategies to Foster Strength,0,hope
"Study: Skipping Lunch Makes You Famous, Wow",1,admiration
Anchor caught laughing on air during solemn news report,0,embarrassment
Encore for Financial Burdens on Families,1,concern
Heart-Racing Suspense: Minor 'Delay' in Traffic,1,anticipation
"Great, spilled tea on keyboard, excitement high",1,excitement
Brilliant Political Strategy: More Empty Slogans,1,activism
protests continue for stephon clark on martin luther king jr.'s death anniversary,0,anger
Town hall features exhibition of family heirlooms and stories,0,nostalgia
Peace Talks Begin as Conflict Escalates Nearby,0,somber irony
"Fire Damages School Library, Students Devastated",0,sadness
Urban Farms Provide Fresh Produce to Underserved Communities,0,hope
"Athlete has a slightly energetic sprint, fans faint",1,intensity
Explosive Shock: Fire Burns Wood,1,surprise
Research Suggests Oceans Can Heal from Pollution,0,hope
Anti-Pollution Law Signed Near Toxic Waste Site,0,somber irony
"Oh joy, new drought declaredheart racing",1,somber irony
Environmental Summit Held in Gas-Guzzling Private Jets,0,somber irony
Parents fear contaminated milk after recall alert,0,fear
"Royals Spilling Tea, Crowns Tipping Over",1,drama
Block Parties: Loving Noise Complaints from Neighbors,1,love
"Wow, flooded desk with papers, peak thrill",1,excitement
Postcard Sending Revived Among Friends Abroad,0,nostalgia
"Charming, Kids Scamming with Lemonade",1,admiration
"Amazing, Revealing Whats Obvious",1,activism
Got backstage passes to meet my favorite band,0,excitement
"Data Analyzed, Conclusions Drawn Wrongly",1,neutral
Empty Lot Where Swing Set Was,0,sadness
Towns Benches Move to New Locations Overnight,0,surprise
"Yummy, Contracts Hard to Find",1,concern
Endangered Animals Near Extinction Tipping Point,0,fear
"Town Fails to Enforce Noise Rules, Locals Disapprove",0,disapproval
"Yes Please, Islands Sinking Slowly",1,concern
"Rental Markets Tighten, Tenants Face Evictions",0,concern
Tasted exotic cuisine for the first time,0,excitement
"Influencer says totally candid, clearly scripted",1,embarrassment
"CEOs Nap Saves Economy, Truly Explosive Feat",1,intensity
Doctors report unexplained symptoms linked to unknown toxin,0,fear
"Splendid, Bees Buzzing Off to Extinction",1,concern
"Power Company Delays Repairs, Customers Fume",0,anger
Experts warn of cascading effects of energy crisis,0,fear
Journalists 'Defend' Freedom By Spreading Fake News,1,solidarity
Forgotten USB Holds Unreleased Song,1,curiosity
"Earthquake barely felt, everyone panics anyway",1,intensity
Families struggle amid economic downturn,0,somber irony
Communities Unite to Demand Renewable Energy Shift,0,activism
rnc leader to trump: tone it down!,0,neutral
Quiet Reveals Distant Waterfall,1,curiosity
City museum reopens exhibit of broken pagers,1,nostalgia
Family Feud Splits Community Over Land Dispute,0,drama
Teens launch public speaking program,0,empowerment
Empty Swing Creaks in Abandoned Playground,0,sadness
Programs Help Veterans Transition to Civilian Life,0,hope
"Earthquake shakes region violently, aftershocks continue",0,intensity
Woman wins house in charity raffle she forgot entering,0,surprise
Citizens Courageously Paint Perfect Wall Again,1,sincerity
Hospitals face critical shortages,0,somber irony
"Scientist Says Dogs Invented Wi-Fi, Stunning",1,surprise
Diet Pill Causes Weight Gain in Trials,1,somber irony
Families affected by economic decline,0,somber irony
Why Are Local Bees Building Unusual Hives?,0,curiosity
"Oh, Wi-Fi died mid-video call, adrenaline rush",1,excitement
Scientist's Breakthrough Discovery Met with Profound Appreciation,0,admiration
Families share laughter around simple dinners,0,relaxation
Community Garden Hosts Workshop on Soil Health,0,neutral
Ad Targets Kids with Gambling App,0,disapproval
Celebrity feud resolved publicly,0,drama
Teachers Ponder Unruly Classes Fondly,1,reflection
Activists guide youth for disaster relief efforts.,0,solidarity
"Journalist praises accuracy, misspells headline",1,embarrassment
Incredible! Healthcare prices up againmust be a sign of progress,1,anger
Fans celebrate fiercely as team wins championship,0,intensity
Locked Music Box Plays Unheard Melody,0,curiosity
Volunteer Doctors Provide Free Checkups,0,sincerity
"New Bridge Opens Early, Drivers Celebrate Smooth Ride",0,joy
Journalists Candid Scoop Full of Half-Truths,1,sincerity
"Earthquake slightly shaky, panic everywhere",1,intensity
Map Shows Island That Isnt There,0,curiosity
Residents celebrate traditional folk dance revival,0,nostalgia
lester holt begins debate by reiterating he doesn't know who these fucking people are,1,humor
Town launches exhibition of forgotten gadgets and broken dreams,1,nostalgia
Tourists nap under palm trees without guilt,0,relaxation
Genuine Disapproval of 'Reasonable' Delays,1,disapproval
Scientists Claim Coffee Fixes Broken Dreams,1,anger
Investors brace for another market crash amid global uncertainty,0,fear
"Coral Bleaching Events Multiply, Divers Mourn Lost Beauty",0,concern
Community hosts youth innovation challenge,0,empowerment
"Teachers Name Mix-Up, A+ for Effort",1,embarrassment
"Great, elevator stuck for agesso exciting",1,anticipation
princess charlotte has maybe the most fashionable christening ever,0,joy
"So relaxing  sirens, alerts, and chaos, all at once",1,fear
Local school revives traditional morning assemblies,0,nostalgia
Actor Forgets Lines During Live Performance,0,embarrassment
"Traffic Congestion Worsens, Commuters Dread Daily Drives",0,concern
Deep Reflection: Boss 'Considers' Employee Burnout,1,reflection
"Wow, courtroom argument over punctuationthrill overload",1,drama
"Oh joy, political corruption exposed",1,somber irony
Massive fire engulfs historical landmark,0,intensity
Students organize charity hackathon,0,empowerment
Study: Skipping Breakfast Makes You a Legend,1,humor
Advances in Robotics Aid Elderly Independence,0,hope
Town Raises Funds for Flood Victims,0,sincerity
What you avoid reflects what you fear,0,reflection
"Heist Shocks, Frames Empty",1,drama
"thousands protest peacefully in baltimore, and many lend a helping hand",0,hope
Faded Medal Ribbon in Drawer,0,sadness
Tech CEO calls exploitation career development,1,contempt
city offers free pot for the poor,0,surprise
Farmer Trains Ducks to March in Perfect Circles,0,humor
Teacher Calls Student by Wrong Name All Year,0,embarrassment
"Oh joy, another couple arguing loudlyso romantic",1,love
"Wow, wildfires devour forestsso thrilling",1,somber irony
Activists 'Empower' by Shouting Louder Online,1,empowerment
Man Discovers His Couch Is His Best Friend,0,humor
Looking forward to graduation party,0,anticipation
"Incredible, software glitch mid-saveadrenaline spike",1,anticipation
"Fantastic, Monday morning emails piling upso exciting",1,anticipation
Final Bookstore Replaced by Chain Pharmacy,0,disapproval
"Historic Bridge Collapses, Town Mourns Lost Landmark",0,sadness
"Investment Scams Proliferate, Savings Vanish",0,concern
Local fair recreates thrill of getting lost without GPS,1,nostalgia
World Awaits Launch of Revolutionary Electric Vehicle Model,0,anticipation
Researcher Admits Experiment Flaws to Advance Field,0,sincerity
Commuters declare train delay unexpected meditation time,1,relaxation
"Great, love-themed TV commercials again",1,love
"Earthquake a minor shake, citizens in hysteria",1,intensity
Stranger Hums Childhood Lullaby,0,curiosity
Scientists Predict Coral Reef Recovery with Conservation Efforts,0,hope
Tech Workers Unionize for Ethical AI Development Standards,0,activism
"Grieving Communities After Shootings, Calls for Change",0,concern
Shadow Casts Tomorrows Outfit,0,curiosity
Unbelievable! Weather forecast actually correct,1,surprise
"Wildfire a little threatening, mass evacuation begins",1,intensity
"Politicians new slogan: Lower the bar, raise applause",1,contempt
School Play Delights Audience with Young Stars,0,joy
Arrogant Academics Dismiss Alternative Viewpoints,0,contempt
"Oh great, students lend a hand in social equality.",1,solidarity
Child Boards Plane Without Stuffed Bear,0,sadness
Love how corporations care about the planetwhile dumping waste daily,1,anger
"Ideal, Volunteers Building Homes That Won't Collapse",1,hope
Not all endings are tragicsome are transitions,0,reflection
Chefs Contemplate Burnt Dishes Masterpieces,1,reflection
Another Hospital Bed Shortage Story,1,sadness
Residents lead youth skill-sharing sessions,0,empowerment
Hospital Turns Away Uninsured Patient,0,disapproval
Billionaire Philanthropist Donates Pocket Change to End World Hunger,1,empowerment
Residents create youth mentoring initiative,0,empowerment
AI Replaces 500 Call Center Jobs,0,disapproval
Scientists warn ocean acidification reaching dangerous levels,0,fear
Court case concludes with unexpected twist,0,drama
